"","chr","start","end","strand","PAnum","tot_tag","coord","refPAnum","ftr","gene_id","biotype","ftr_start","ftr_end","upstream_id","upstream_start","upstream_end","downstream_id","downstream_start","downstream_end","Amp311_R1","Amp311_R2","Amp311_R3","average"
"345","1",410475,410744,"+",102,1374,410581,529,"three_prime_UTR","AT1G02150","protein_coding","410434","410680",NA,NA,NA,NA,NA,NA,124.825698788689,134.959287564163,163.168236353711,140.984407568854
"346","1",411504,411649,"+",45,346,411534,47,"three_prime_UTR","AT1G02160","protein_coding","411384","411632",NA,NA,NA,NA,NA,NA,35.7540946279159,35.0961966404293,35.3028901873464,35.3843938185639
"348","1",413539,413612,"+",25,320,413548,144,"three_prime_UTR","AT1G02170","protein_coding","413427","413554",NA,NA,NA,NA,NA,NA,34.4995649918487,34.2484624220614,27.1229522171076,31.9569932103392
"356","1",422346,422373,"+",7,93,422366,61,"three_prime_UTR","AT1G02205","protein_coding","422155","422579",NA,NA,NA,NA,NA,NA,6.89991299836974,8.307795340005,14.2072606851516,9.80498967450878
"375","1",458144,458192,"+",12,58,458148,38,"three_prime_UTR","AT1G02305","protein_coding","457975","458164",NA,NA,NA,NA,NA,NA,3.76358890820168,5.08640531020714,9.4715071234344,6.10716711394774
"383","1",470803,470863,"+",10,26,470808,6,"intergenic","AT1G02350","protein_coding","470693","474373","AT1G02350",469818,470693,"AT1G02370",474373,476612,4.39085372623529,2.03456212408286,3.0136613574564,3.14635906925818
"407","1",492790,492882,"+",17,136,492863,67,"three_prime_UTR","AT1G02410","protein_coding","492763","492963",NA,NA,NA,NA,NA,NA,12.5452963606723,14.0723880249064,14.2072606851516,13.6083150235768
"408","1",492912,492989,"+",14,85,492927,25,"three_prime_UTR","AT1G02410","protein_coding","492763","492963",NA,NA,NA,NA,NA,NA,10.0362370885378,8.81643587102572,7.3188918681084,8.72385494255731
"426","1",520272,520401,"+",79,5528,520357,875,"three_prime_UTR","AT1G02500","protein_coding","520219","520495",NA,NA,NA,NA,NA,NA,590.256193769629,548.31449244033,582.497688091216,573.689458100392
"440","1",539920,540139,"+",90,2019,539969,611,"three_prime_UTR","AT1G02560","protein_coding","539806","540127",NA,NA,NA,NA,NA,NA,190.061239864185,194.63977653726,244.537093005034,209.746036468826
"469","1",582108,582266,"+",22,48,582188,11,"three_prime_UTR","AT1G02680","protein_coding","581920","582310",NA,NA,NA,NA,NA,NA,3.13632409016806,5.76459268490143,3.8747074595868,4.2585414115521
"472","1",587174,587239,"+",15,149,587220,111,"three_prime_UTR","AT1G02690","protein_coding","587037","587327",NA,NA,NA,NA,NA,NA,15.6816204508403,16.4460438363364,11.6241223787604,14.5839288886457
"487","1",594149,594267,"+",19,66,594226,23,"three_prime_UTR","AT1G02720","protein_coding","593866","594264",NA,NA,NA,NA,NA,NA,3.13632409016806,6.95142059061643,8.610461021304,6.2327352340295
"491","1",604229,604307,"+",23,68,604287,14,"three_prime_UTR","AT1G02750","protein_coding","604135","604387",NA,NA,NA,NA,NA,NA,5.64538336230251,8.307795340005,4.305230510652,6.08613640431984
"493","1",609675,609693,"+",14,73,609681,20,"intergenic","AT1G02760","tRNA","604474","618061","AT1G02760",604402,604474,"AT1G02810",618061,620502,6.89991299836974,6.10368637224857,11.1935993276952,8.06573289943784
"504","1",622293,622376,"+",20,129,622334,57,"three_prime_UTR","AT1G02816","protein_coding","622138","623054",NA,NA,NA,NA,NA,NA,8.78170745247058,14.0723880249064,13.7767376340864,12.2102777038211
"517","1",629727,629853,"+",47,1193,629811,226,"three_prime_UTR","AT1G02840","protein_coding","629584","629993",NA,NA,NA,NA,NA,NA,126.70749324279,123.43010219436,113.227562430148,121.121719289099
"559","1",703792,703886,"+",22,242,703809,96,"three_prime_UTR","AT1G03030","protein_coding","703569","703864",NA,NA,NA,NA,NA,NA,26.3451223574117,26.11021392573,19.8040603489992,24.086465544047
"569","1",743906,743960,"+",11,36,743939,18,"three_prime_UTR","AT1G03090","protein_coding","743820","744184",NA,NA,NA,NA,NA,NA,3.13632409016806,3.73003056081857,3.8747074595868,3.58035403685781
"574","1",751886,751955,"+",22,53,751910,11,"three_prime_UTR","AT1G03110","protein_coding","751797","751976",NA,NA,NA,NA,NA,NA,6.27264818033613,4.91685846653357,6.0273227149128,5.73894312059417
"578","1",758491,758594,"+",19,58,758582,21,"three_prime_UTR","AT1G03150","protein_coding","758442","758678",NA,NA,NA,NA,NA,NA,3.76358890820168,5.25595215388072,9.0409840723692,6.0201750448172
"583","1",766056,766232,"+",32,299,766156,95,"three_prime_UTR","AT1G03160","protein_coding","765753","766194",NA,NA,NA,NA,NA,NA,21.9542686311764,34.7571029530821,25.4008600128468,27.3707438657018
"591","1",779972,780068,"+",23,112,780012,47,"three_prime_UTR","AT1G03190","protein_coding","779864","780044",NA,NA,NA,NA,NA,NA,16.3088852688739,11.1900916824557,8.610461021304,12.0364793242112
"596","1",784298,784318,"+",10,62,784310,13,"three_prime_UTR","AT1G03210","protein_coding","784241","784346",NA,NA,NA,NA,NA,NA,5.64538336230251,7.62960796531071,3.4441844085216,5.57305857871161
"601","1",788514,788618,"+",27,74,788555,9,"three_prime_UTR","AT1G03220","protein_coding","788445","788722",NA,NA,NA,NA,NA,NA,8.15444263443696,7.29051427796357,7.7494149191736,7.73145727719138
"605","1",791511,791606,"+",22,72,791534,15,"three_prime_UTR","AT1G03230","protein_coding","791415","791689",NA,NA,NA,NA,NA,NA,6.89991299836974,7.79915480898429,6.457845765978,7.05230452444401
"621","1",806907,807069,"+",60,343,807011,96,"three_prime_UTR","AT1G03280","protein_coding","806759","807066",NA,NA,NA,NA,NA,NA,42.6540076262857,32.5529939853257,35.7334132384116,36.980138283341
"628","1",810742,810902,"+",52,520,810813,73,"three_prime_UTR","AT1G03290","protein_coding","810681","813216",NA,NA,NA,NA,NA,NA,50.8084502607226,53.0681620698279,54.2459044342152,52.7075055882552
"632","1",816685,816714,"+",19,388,816690,247,"three_prime_UTR","AT1G03310","protein_coding","816624","816812",NA,NA,NA,NA,NA,NA,38.2631539000504,36.4525713898179,48.2185817193024,40.9781023363902
"641","1",826274,826433,"+",33,145,826366,37,"three_prime_UTR","AT1G03360","protein_coding","826180","826399",NA,NA,NA,NA,NA,NA,13.1725611787059,13.055106962865,20.2345834000644,15.4874171805451
"648","1",830263,830379,"+",27,113,830291,32,"three_prime_UTR","AT1G03365","protein_coding","830192","830393",NA,NA,NA,NA,NA,NA,8.15444263443696,10.8509979951086,15.4988298383472,11.5014234892976
"657","1",835355,835392,"+",17,136,835362,50,"three_prime_UTR","AT1G03370","protein_coding","834997","835411",NA,NA,NA,NA,NA,NA,15.0543556328067,13.055106962865,15.068306787282,14.3925897943179
"666","1",840706,840776,"+",13,63,840732,26,"three_prime_UTR","AT1G03380","protein_coding","840508","841373",NA,NA,NA,NA,NA,NA,3.13632409016806,4.74731162286,12.915691531956,6.93310908166136
"668","1",840847,840986,"+",33,153,840883,26,"three_prime_UTR","AT1G03380","protein_coding","840508","841373",NA,NA,NA,NA,NA,NA,22.5815334492101,15.5983096179686,10.76307627663,16.3143064479362
"679","1",853992,854033,"+",15,112,853995,53,"three_prime_UTR","AT1G03440","protein_coding","853875","854297",NA,NA,NA,NA,NA,NA,6.89991299836974,12.0378259008236,12.915691531956,10.6178101437164
"680","1",854067,854180,"+",21,159,854135,34,"three_prime_UTR","AT1G03440","protein_coding","853875","854297",NA,NA,NA,NA,NA,NA,16.9361500869075,18.1415122730721,10.76307627663,15.2802462122032
"706","1",899465,899776,"+",146,3758,899654,932,"three_prime_UTR","AT1G03600","protein_coding","899441","899794",NA,NA,NA,NA,NA,NA,326.804970195512,411.998830126779,347.432102209617,362.078634177302
"712","1",902863,903067,"+",50,328,902943,61,"three_prime_UTR","AT1G03610","protein_coding","902407","903070",NA,NA,NA,NA,NA,NA,28.2269168115126,36.1134777024707,30.136613574564,31.4923360295158
"716","1",909245,909396,"+",65,2624,909360,833,"three_prime_UTR","AT1G03630","protein_coding","909246","909650",NA,NA,NA,NA,NA,NA,237.106101216706,265.84945088016,291.894628622206,264.95006023969
"722","1",920540,920585,"+",12,109,920555,84,"three_prime_UTR","AT1G03687","protein_coding","920307","920592",NA,NA,NA,NA,NA,NA,8.78170745247058,10.3423574640879,14.6377837362168,11.2539495509251
"742","1",936967,937068,"+",27,201,937042,48,"three_prime_UTR","AT1G03740","protein_coding","936582","937152",NA,NA,NA,NA,NA,NA,20.6997389951092,17.6328717420514,27.5534752681728,21.9620286684445
"773","1",993110,993128,"+",10,201,993113,167,"three_prime_UTR","AT1G03900","protein_coding","992853","993126",NA,NA,NA,NA,NA,NA,18.8179445410084,21.36290230287,19.373537297934,19.8514613806041
"782","1",1000326,1000442,"+",21,218,1000437,131,"three_prime_UTR","AT1G03910","protein_coding","1000232","1000629",NA,NA,NA,NA,NA,NA,22.5815334492101,25.0929328636886,14.6377837362168,20.7707500163718
"798","1",1008205,1008313,"+",25,105,1008285,27,"three_prime_UTR","AT1G03930","protein_coding","1008119","1008370",NA,NA,NA,NA,NA,NA,9.40897227050419,9.15552955837286,15.4988298383472,11.3544438890748
"814","1",1019208,1019262,"+",13,57,1019231,9,"three_prime_UTR","AT1G03970","protein_coding","1019050","1019247",NA,NA,NA,NA,NA,NA,4.39085372623529,3.89957740449214,11.6241223787604,6.63818450316261
"822","1",1040150,1040171,"+",9,40,1040157,22,"three_prime_UTR","AT1G04020","protein_coding","1040046","1040262",NA,NA,NA,NA,NA,NA,3.13632409016806,4.74731162286,3.0136613574564,3.63243235682816
"834","1",1056634,1056803,"+",66,575,1056780,83,"three_prime_UTR","AT1G04080","protein_coding","1056551","1056827",NA,NA,NA,NA,NA,NA,54.5720391689243,56.7981926306464,65.8700268129756,59.0800862041821
"839","1",1061175,1061226,"+",12,33,1061211,12,"intergenic","AT1G04100","protein_coding","1061209","1073274","AT1G04100",1059470,1061209,"AT1G04130",1073274,1075568,5.0181185442689,3.560483717145,1.7220922042608,3.43356482189157
"843","1",1075480,1075525,"+",12,66,1075488,24,"three_prime_UTR","AT1G04130","protein_coding","1075375","1075568",NA,NA,NA,NA,NA,NA,6.89991299836974,6.78187374694286,6.457845765978,6.71321083709687
"853","1",1099789,1099811,"+",10,37,1099790,14,"three_prime_UTR","AT1G04170","protein_coding","1099703","1099901",NA,NA,NA,NA,NA,NA,4.39085372623529,4.06912424816572,2.5831383063912,3.68103876026407
"854","1",1099842,1100001,"+",65,679,1099969,198,"intergenic","AT1G04170","protein_coding","1099901","1104493","AT1G04170",1096882,1099901,"AT1G04180",1104493,1106241,68.9991299836974,73.9224238416772,57.2595657916716,66.7270398723487
"863","1",1113970,1114081,"+",24,156,1114041,40,"three_prime_UTR","AT1G04200","protein_coding","1113507","1114155",NA,NA,NA,NA,NA,NA,16.3088852688739,16.7851375236836,13.3462145830212,15.4800791251929
"866","1",1119634,1119750,"+",26,173,1119688,46,"three_prime_UTR","AT1G04210","protein_coding","1119384","1119739",NA,NA,NA,NA,NA,NA,13.7998259967395,18.3110591167457,18.5124911958036,16.8744587697629
"874","1",1128046,1128155,"+",22,51,1128072,17,"three_prime_UTR","AT1G04230","protein_coding","1127829","1128788",NA,NA,NA,NA,NA,NA,8.15444263443696,5.25595215388072,3.0136613574564,5.47468538192469
"883","1",1138451,1138632,"+",56,964,1138584,243,"three_prime_UTR","AT1G04250","protein_coding","1138341","1138663",NA,NA,NA,NA,NA,NA,96.5987819771763,102.914934109858,87.3961793662356,95.6366318177566
"900","1",1166572,1166669,"+",25,195,1166622,80,"three_prime_UTR","AT1G04350","protein_coding","1166539","1167135",NA,NA,NA,NA,NA,NA,17.5634149049412,16.9546843673571,28.8450444213684,21.1210478978889
"901","1",1166707,1166795,"+",27,488,1166766,110,"three_prime_UTR","AT1G04350","protein_coding","1166539","1167135",NA,NA,NA,NA,NA,NA,40.1449483541512,48.1513036032943,60.273227149128,49.5231597021912
"915","1",1193818,1193912,"+",52,1128,1193880,532,"three_prime_UTR","AT1G04420","protein_coding","1193700","1193884",NA,NA,NA,NA,NA,NA,101.616900521445,105.627683608635,147.669406515364,118.304663548481
"916","1",1196849,1196948,"+",24,305,1196929,106,"intergenic","AT1G04425","ncRNA","1196889","1197956","AT1G04425",1194187,1196889,"AT1G04430",1197956,1201579,31.9905057197142,29.3316039555279,34.8723671362812,32.0648256038411
"923","1",1201426,1201531,"+",43,247,1201527,37,"three_prime_UTR","AT1G04430","protein_coding","1201302","1201579",NA,NA,NA,NA,NA,NA,21.3270038131428,22.8888238959321,33.5807979830856,25.9322085640535
"929","1",1205791,1205830,"+",12,79,1205804,30,"three_prime_UTR","AT1G04440","protein_coding","1205665","1206009",NA,NA,NA,NA,NA,NA,7.52717781640335,6.61232690326929,12.0546454298256,8.73138338316608
"936","1",1217314,1217510,"+",85,4086,1217396,1828,"three_prime_UTR","AT1G04480","protein_coding","1217258","1217471",NA,NA,NA,NA,NA,NA,416.503839174319,397.078707883504,464.964895150416,426.18248073608
"940","1",1230711,1230811,"+",36,577,1230805,139,"three_prime_UTR","AT1G04510","protein_coding","1230593","1230947",NA,NA,NA,NA,NA,NA,57.7083632590924,62.0541447845272,51.2322430767588,56.9982503734594
"951","1",1234004,1234035,"+",14,86,1234020,20,"three_prime_UTR","AT1G04520","protein_coding","1233788","1234032",NA,NA,NA,NA,NA,NA,7.52717781640335,9.66417008939357,7.3188918681084,8.17007992463511
"957","1",1242084,1242180,"+",25,301,1242108,133,"three_prime_UTR","AT1G04550","protein_coding","1241811","1242157",NA,NA,NA,NA,NA,NA,32.6177705377479,28.6534165808336,34.441844085216,31.9043437345991
"958","1",1243303,1243320,"+",6,25,1243319,18,"intron","AT1G04555","protein_coding","1242897","1243441",NA,NA,NA,NA,NA,NA,1.88179445410084,1.01728106204143,6.8883688170432,3.26248144439516
"962","1",1244092,1244154,"+",13,59,1244148,16,"three_prime_UTR","AT1G04555","protein_coding","1243950","1244244",NA,NA,NA,NA,NA,NA,6.89991299836974,5.25595215388072,7.3188918681084,6.49158567345295
"996","1",1293268,1293400,"+",55,417,1293352,88,"three_prime_UTR","AT1G04640","protein_coding","1293249","1293398",NA,NA,NA,NA,NA,NA,42.026742808252,42.0476172310457,43.9133512086504,42.6625704159827
"1005","1",1315567,1315828,"+",77,1180,1315689,329,"three_prime_UTR","AT1G04690","protein_coding","1315421","1315823",NA,NA,NA,NA,NA,NA,127.962022878857,122.243274288645,109.783378021626,119.996225063043
"1010","1",1324700,1324829,"+",16,74,1324781,32,"three_prime_UTR","AT1G04710","protein_coding","1324557","1324840",NA,NA,NA,NA,NA,NA,6.27264818033613,8.13824849633143,6.8883688170432,7.09975516457025
"1026","1",1348352,1348461,"+",19,60,1348452,33,"three_prime_UTR","AT1G04790","protein_coding","1348144","1348868",NA,NA,NA,NA,NA,NA,6.27264818033613,6.61232690326929,4.7357535617172,5.87357621510754
"1030","1",1355326,1355444,"+",34,235,1355367,58,"three_prime_UTR","AT1G04810","protein_coding","1355262","1355466",NA,NA,NA,NA,NA,NA,25.0905927213445,24.2451986453207,22.3871986553904,23.9076633406852
"1043","1",1387788,1387837,"+",14,55,1387806,29,"three_prime_UTR","AT1G04900","protein_coding","1387562","1387895",NA,NA,NA,NA,NA,NA,3.76358890820168,6.44278005959572,4.7357535617172,4.9807075098382
"1048","1",1400687,1400775,"+",38,740,1400724,334,"three_prime_UTR","AT1G04940","protein_coding","1400617","1400830",NA,NA,NA,NA,NA,NA,103.498694975546,77.9915480898429,49.510150872498,77.000131312629
"1049","1",1400803,1400823,"+",6,105,1400820,59,"three_prime_UTR","AT1G04940","protein_coding","1400617","1400830",NA,NA,NA,NA,NA,NA,10.0362370885378,10.1728106204143,12.4851684808908,10.898072063281
"1053","1",1402925,1403001,"+",18,33,1402997,3,"three_prime_UTR","AT1G04945","protein_coding","1402652","1403038",NA,NA,NA,NA,NA,NA,3.76358890820168,3.39093687347143,3.0136613574564,3.38939571304317
"1063","1",1413622,1413669,"+",7,72,1413623,53,"three_prime_UTR","AT1G04970","protein_coding","1413432","1413626",NA,NA,NA,NA,NA,NA,6.89991299836974,5.76459268490143,11.6241223787604,8.09620935401052
"1084","1",1469643,1469651,"+",9,27,1469650,7,"five_prime_UTR","AT1G05100","protein_coding","1469541","1469678",NA,NA,NA,NA,NA,NA,0,1.69546843673571,7.3188918681084,3.00478676828137
"1090","1",1484005,1484018,"+",7,72,1484010,34,"three_prime_UTR","AT1G05140","protein_coding","1484007","1484059",NA,NA,NA,NA,NA,NA,8.78170745247058,4.23867109183929,14.2072606851516,9.07587974315382
"1091","1",1484045,1484096,"+",17,262,1484051,87,"three_prime_UTR","AT1G05140","protein_coding","1484007","1484059",NA,NA,NA,NA,NA,NA,28.2269168115126,27.6361355187921,23.2482447575208,26.3704323626085
"1099","1",1509082,1509158,"+",14,129,1509151,83,"three_prime_UTR","AT1G05200","protein_coding","1509003","1509152",NA,NA,NA,NA,NA,NA,11.9180315426386,14.9201222432743,9.4715071234344,12.1032203031158
"1103","1",1511629,1511683,"+",14,95,1511683,28,"three_prime_UTR","AT1G05210","protein_coding","1511486","1511683",NA,NA,NA,NA,NA,NA,10.6635019065714,10.681451151435,6.457845765978,9.26759960799481
"1129","1",1557695,1557820,"+",27,232,1557732,64,"three_prime_UTR","AT1G05320","protein_coding","1557659","1557844",NA,NA,NA,NA,NA,NA,23.2087982672437,23.5670112706264,24.1092908596512,23.6283667991738
"1133","1",1567420,1567511,"+",17,42,1567466,8,"three_prime_UTR","AT1G05360","protein_coding","1567279","1567495",NA,NA,NA,NA,NA,NA,3.76358890820168,4.74731162286,3.4441844085216,3.98502831319443
"1144","1",1582572,1582634,"+",15,87,1582610,39,"three_prime_UTR","AT1G05380","protein_coding","1582191","1582666",NA,NA,NA,NA,NA,NA,10.0362370885378,8.47734218367857,9.0409840723692,9.18485444819519
"1160","1",1629115,1629229,"+",41,490,1629189,142,"three_prime_UTR","AT1G05500","protein_coding","1628941","1629289",NA,NA,NA,NA,NA,NA,57.0810984410587,45.4385541045172,56.3985196895412,52.9727240783724
"1167","1",1640825,1640865,"+",14,91,1640864,33,"three_prime_UTR","AT1G05540","protein_coding","1640708","1640879",NA,NA,NA,NA,NA,NA,9.40897227050419,11.0205448387821,4.7357535617172,8.38842355700118
"1180","1",1671871,1671888,"+",14,191,1671873,115,"three_prime_UTR","AT1G05590","protein_coding","1671687","1671876",NA,NA,NA,NA,NA,NA,26.3451223574117,17.6328717420514,19.373537297934,21.1171771324657
"1182","1",1673785,1673862,"+",12,43,1673793,16,"three_prime_UTR","AT1G05600","protein_coding","1673676","1673847",NA,NA,NA,NA,NA,NA,2.50905927213445,3.73003056081857,7.3188918681084,4.51932723368714
"1186","1",1681704,1681708,"+",5,33,1681707,26,"three_prime_UTR","AT1G05620","protein_coding","1681528","1681710",NA,NA,NA,NA,NA,NA,3.76358890820168,2.88229634245071,4.305230510652,3.6503719204348
